Nodes:
ID, X, Y, Z
772, 28.900, -1.000, 0.000
773, 31.000, -19.000, 0.000
774, 31.000, -18.000, 0.000
775, 31.000, -17.000, 0.000
776, 31.000, -16.000, 0.000
777, 31.000, -15.000, 0.000
778, 31.000, -14.000, 0.000
779, 31.000, -13.000, 0.000
780, 31.000, -12.000, 0.000
781, 31.000, -11.000, 0.000
782, 31.000, -10.000, 0.000
783, 31.000, -9.000, 0.000
784, 31.000, -8.000, 0.000
785, 31.000, -7.000, 0.000
786, 31.000, -6.000, 0.000
787, 31.000, -5.000, 0.000
788, 31.000, -4.000, 0.000
789, 31.000, -3.000, 0.000
790, 31.000, -2.000, 0.000
791, 31.000, -1.000, 0.000
792, 33.100, -19.000, 0.000
793, 33.100, -18.000, 0.000
794, 33.100, -17.000, 0.000
795, 33.100, -16.000, 0.000
796, 33.100, -15.000, 0.000
797, 33.100, -14.000, 0.000
798, 33.100, -13.000, 0.000
799, 33.100, -12.000, 0.000
800, 33.100, -11.000, 0.000
801, 33.100, -10.000, 0.000
802, 33.100, -9.000, 0.000
803, 33.100, -8.000, 0.000
804, 33.100, -7.000, 0.000
805, 33.100, -6.000, 0.000
806, 33.100, -5.000, 0.000
807, 33.100, -4.000, 0.000
808, 33.100, -3.000, 0.000
809, 33.100, -2.000, 0.000
810, 33.100, -1.000, 0.000
811, 35.200, -19.000, 0.000
812, 35.200, -18.000, 0.000
813, 35.200, -17.000, 0.000
814, 35.200, -16.000, 0.000
815, 35.200, -15.000, 0.000
816, 35.200, -14.000, 0.000
